id,tempo_bpm,key,key_index,energy_mean,energy_std,spectral_centroid_mean,spectral_rolloff_mean,spectral_bandwidth_mean,zero_crossing_rate,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,harmonic_energy,percussive_energy,title,artist,streams_b
blinding_lights,86.13,F,5,0.309664,0.125272,1822.18,3873.59,2048.39,0.064151,-75.9756,107.6259,5.6269,43.7112,8.7253,14.7008,6.4101,10.6894,-0.2876,13.6282,4.5782,8.2107,1.3983,0.237919,0.106716,Blinding Lights,The Weeknd,5.34
shape_of_you,129.2,F#,6,0.262911,0.118106,2020.41,4172.65,2204.28,0.083411,-92.4705,99.4388,2.2325,22.8233,3.3933,-0.6187,-15.3239,-6.7067,-17.8987,-4.6891,-6.2552,3.2347,-2.5345,0.193545,0.107355,Shape of You,Ed Sheeran,4.83
sweater_weather,123.05,D#,3,0.231042,0.104237,2262.38,4460.44,2197.89,0.113055,-63.5127,100.2948,-11.1086,25.8894,-1.8612,4.7512,-5.7011,5.0203,-1.2346,2.9674,-1.5503,2.3836,0.2397,0.16029,0.098555,Sweater Weather,The Neighbourhood,4.48
starboy,123.05,A,9,0.31747,0.114834,1631.4,3701.93,2259.39,0.035401,-123.4195,107.7074,23.8905,28.8679,16.0718,11.6649,10.4137,6.5783,-1.8107,11.2384,2.4025,2.8421,5.967,0.260737,0.111821,Starboy,The Weeknd,4.44
as_it_was,172.27,B,11,0.327639,0.118689,1785.61,3707.97,2212.31,0.06798,-65.9428,118.3297,10.9031,15.5437,7.0013,3.0609,-2.4356,5.6884,-1.377,0.7104,-2.3732,-0.5254,-2.1251,0.242785,0.130248,As It Was,Harry Styles,4.32
someone_you_loved,112.35,C#,1,0.176508,0.083972,1671.38,3346.79,1866.35,0.077693,-163.3353,123.8833,23.3931,18.0487,2.1472,6.9613,-13.5407,8.5928,-6.8141,-6.6533,0.4727,-5.6374,-3.0074,0.151124,0.044601,Someone You Loved,Lewis Capaldi,4.27
sunflower,89.1,D,2,0.223091,0.121713,2036.38,4133.43,2232.68,0.094955,-105.8233,103.042,12.4895,25.5115,-9.9993,6.9312,-2.3236,-3.8052,2.5865,0.3208,-5.4636,4.7821,-4.5738,0.13262,0.119349,Sunflower,Post Malone,4.17
one_dance,136.0,F,5,0.268489,0.167812,2065.41,4666.85,2485.42,0.064012,-116.9386,93.6573,14.3548,23.8505,6.5712,9.7787,-3.7734,10.7003,-3.0313,3.6682,1.9824,0.0494,2.8011,0.173238,0.123212,One Dance,Drake,4.12
perfect,184.57,G#,8,0.161829,0.062561,2105.09,4351.22,2202.65,0.088138,-136.0074,104.198,11.1722,35.8618,-3.8538,1.9668,0.0732,-1.4904,-10.6789,4.6996,-12.6064,-0.7187,-15.0123,0.140182,0.040012,Perfect,Ed Sheeran,3.89
stay,172.27,G#,8,0.269884,0.139541,2458.63,5326.02,2440.16,0.101711,-74.5821,87.836,7.2542,4.6815,0.7099,2.7262,-1.8463,1.6505,-9.5681,3.3969,-1.0965,-2.8268,-2.3213,0.199189,0.101133,STAY,The Kid LAROI,3.84
